index,sentence1,sentence2,label
93,This morning  built a sand castle on the beach and put a toy flag in the highest tower but this afternoon the tide knocked it down.,This afternoon the tide knocked The flag down.,0
94,The man couldn't lift his son because he was so weak.,The man was so weak.,1
95,The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.,The customer was immediately taken to the hospital.,0
96,Since  was dependent on Uncle Vernon he couldn't very well marry without his approval,He couldn't very well marry without 's approval,0
97, came over and sat down beside Alice. Gently she stroked her hair and let the child weep.,Mama stroked her hair and let the child weep.,1
98, did not pass the ball to  although she saw that she was open.,Emma saw that she was open.,1
99, became absorbed in Blaze the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid so he took upon himself the feeding and care of the animal., was afraid the stable boys at the Burlington Stables struck at him and bullied him.,1
100,By rolling over in her upper berth Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed but Tatyana doubted if she slept.,Tatyana doubted if her mother slept.,1
101, asked Robert for a favor but he was refused., was refused.,0
102,I can't cut that tree down with that axe; it is too thick.,The axe is too thick.,0
103, collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill., was very ill.,1
104, did not pass the ball to  although she saw that she was open., saw that she was open.,0
105, gave Ralph a lift to school so he wouldn't have to drive alone., wouldn't have to drive alone.,1
106,'s drawing was hung just above Tina's and it did look much better with another one below it.,'s drawing did look much better with another one below it.,1
107,Although they ran at about the same speed  beat Sally because she had such a good start., had such a good start.,1
108, was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.,The sweater looks dowdy on her.,1
109, paid for Charlie's college education. He is very grateful., is very grateful.,1
110, was happy to trade me her sweater for my jacket. She thinks it looks great on her.,The sweater looks great on her.,0
111,Every day after dinner Mr.  took a long nap. Mark would let him sleep for an hour then wake him up scold him and get him to work. He needed to get him to finish his work because his work was beautiful.,Mr. 's work was beautiful.,1
112,The man lifted the boy onto his shoulders.,The man lifted the boy onto the man's shoulders.,1
113, and Alice had very warm down coats but they were not prepared for the cold in Alaska.,coats were not prepared for the cold in Alaska.,0
114,In July Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger they were defeated within weeks.,Yakutsk was defeated within weeks.,0
115, was greatly influenced by Arnold though he lived two centuries earlier., lived two centuries earlier.,0
116,The path to the lake was blocked so we couldn't use it.,We couldn't use the lake.,0
117, borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,She reads the book when she gets home from work.,1
118,The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.,The teller was immediately taken to the police station.,0
119, can't leave work here until  arrives to replace him. If  had left home for work on time he would be here by this time., would be here by this time.,1
120,What about the time you cut up tulip bulbs in the hamburgers because you thought they were onions?,You thought tulip bulbs were onions?,1
121,This book introduced  to ; it was a major influence on his writing.,It was a major influence on 's writing.,1
122, visited Cooper's grave in 1765. At that date he had been dead for five years., had been dead for five years.,1
123, was supposed to run the dishwasher but he put it off because he wanted to watch TV. But the show turned out to be boring so he changed his mind and turned it on.,He changed his mind and turned the TV on.,0
124, tried to call George on the phone but he wasn't available., wasn't available.,1
125,When Tatyana reached the cabin her mother was sleeping. She was careful not to disturb her undressing and climbing back into her berth.,Tatyana was careful not to disturb her undressing and climbing back into her berth.,1
126, who had not told the government official that he was less than 21 when he filed for a homestead claim did not consider that he had done anything dishonest. Still anyone who knew that he was 19 years old could take his claim away from him.,Anyone who knew that he was 19 years old could take his claim away from the government official.,0
127, is the only man still alive who remembers my great-grandfather. He is a remarkable man.,My great-grandfather is a remarkable man.,0
128,I put the cake away in the refrigerator. It has a lot of leftovers in it.,The cake has a lot of leftovers in it.,0
129, signaled the barman and gestured toward his bathroom key., signaled the barman and gestured toward The barman's bathroom key.,1
130, follows Fred's example in everything. He influences him hugely., influences him hugely.,1
131,When Tatyana reached the cabin her mother was sleeping. She was careful not to disturb her  undressing and climbing back into her berth.,She was careful not to disturb her mother  undressing and climbing back into her berth.,1
132, gave Joan candy because she wasn't hungry.,Jane wasn't hungry.,1
133,When  dropped his ice cream  giggled so father gave him a stern look.,Father gave  a stern look.,0
134,I couldn't find a spoon so I tried using a pen to stir my coffee. But that turned out to be a bad idea because it got full of ink.,The coffee got full of ink.,1
135,The man couldn't lift his son because he was so weak.,The son was so weak.,0
136, tried to paint a picture of shepherds with sheep but they ended up looking more like golfers.,The shepherds ended up looking more like golfers.,1
137,I couldn't find a spoon so I tried using a pen to stir my coffee. But that turned out to be a bad idea because it got full of ink.,The pen got full of ink.,0
138, was jogging through the park when he saw a man juggling watermelons. He was very impressed., was very impressed.,1
139, covered his eyes with his hands because the wind was blowing sand around. He lowered them when the wind stopped.,He lowered his eyes when the wind stopped.,0
140,The delivery truck zoomed by the school bus because it was going so fast.,The school bus was going so fast.,0
141,During a game of tag  chased Luke because he was "it"., was "it".,0
142,There is a gap in the wall. You can see the garden behind it.,You can see the garden through the wall.,1
143,I took the water bottle out of the backpack so that it would be lighter.,I took the water bottle out of the backpack so that the water bottle would be lighter.,0
144,The sun was covered by a thick cloud all morning but luckily by the time the picnic started it was out.,The sun was out.,1
145, yelled at Kevin because he was so upset., was so upset.,1
146,Even before they reached town they could hear a sound like corn popping.  asked what it was and Dad said it was firecrackers., asked what the sound was.,1
147, passed the gameboy to John because his turn was next.,'s turn was next.,0
148, was supposed to run the dishwasher but he put it off because he wanted to watch TV. But the show turned out to be boring so he changed his mind and turned it on.,He changed his mind and turned the dishwasher on.,1
149,As  carried Tommy up the long winding steps his legs ached.,'s legs ached.,0
150,The foxes are getting in at night and attacking the chickens. I shall have to kill them.,I shall have to kill The chickens.,0
151, looked down at the children's faces so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.,It was bad enough that the faces had to be denied so many things because he couldn't afford them.,0
152,The sack of potatoes had been placed above the bag of flour so it had to be moved first.,The bag of flour had to be moved first.,0
153,The dog chased the cat which ran up a tree. It waited at the top.,The dog waited at the top.,0
154, follows Fred's example in everything. He admires him hugely., admires him hugely.,0
155,The woman held the girl against her chest.,The woman held the girl against the woman's chest.,1
156,The dog chased the cat which ran up a tree. It waited at the bottom.,The dog waited at the bottom.,1
157, collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned., was very concerned.,1
158, broke both his ankles and he's walking with crutches. But a month or so from now they should be unnecessary.,The crutches should be unnecessary.,1
159,I stuck a pin through a carrot. When I pulled the pin out it left a hole.,The carrot left a hole.,0
160, tried to paint a picture of shepherds with sheep but they ended up looking more like dogs.,The sheep ended up looking more like dogs.,1
161,In the middle of the outdoor concert the rain started falling and it continued until 10.,The concert continued until 10.,0
162,The firemen arrived before the police because they were coming from so far away.,The firemen were coming from so far away.,0
163,I was trying to open the lock with the key but someone had filled the keyhole with chewing gum and I couldn't get it in.,I couldn't get the key in.,1
164,Of one thing  was sure. Harry knew much less than he did., knew much less than Mark did.,1
165,The Dakota prairie lay so warm and bright under the shining sun that it did not seem possible that it had ever been swept by the winds and snows of that hard winter.,It did not seem possible that the prairie had ever been swept by the winds and snows of that hard winter.,1
166,It was a summer afternoon and the dog was sitting in the middle of the lawn. After a while it got up and moved to a spot under the tree because it was hot.,The dog was hot.,1
167, felt vindicated when his longtime rival Bill revealed that he was the winner of the competition., was the winner of the competition.,1
168, made sure to thank Susan for all the help she had given., made sure to thank  for all the help  had given.,1
169,They broadcast an announcement but a subway came into the station and I couldn't hear over it.,I couldn't hear the announcement.,0
170, was doing research in the library when he heard a man humming and whistling. He was very annoyed., was very annoyed.,1
171, took out her flute and played one of her favorite pieces. She has loved it since she was a child.,She has loved the piece since she was a child.,1
172,I'm sure that my map will show this building; it is very good.,The map is very good.,1
173, believed that Rebecca regretted that she had stolen the watch., believed that  regretted that  had stolen the watch.,1
174,The table won't fit through the doorway because it is too narrow.,The doorway is too narrow.,1
175,If the con artist has succeeded in fooling  he would have lost a lot of money.,The con artist would have lost a lot of money.,0
176, pulled up a chair to the piano but it was broken so he had to sing instead.,The piano was broken so he had to sing instead.,1
177, is the only man alive who still remembers my father as an infant. When  first saw my father he was twelve months old.,When  first saw my father  was twelve months old.,0
178, did a lot better than her good friend Lucy on the test because she had studied so hard., had studied so hard.,0
179, knocked on the door and Susan answered it. She invited her to come out., invited her to come out.,0
180,The path to the lake was blocked so we couldn't reach it.,We couldn't reach the lake.,1
181, was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.,The jacket looks dowdy on her.,0
182, ceded the presidency to  because he was more popular., was more popular.,0
183,I tried to paint a picture of an orchard with lemons in the lemon trees but they came out looking more like telephone poles.,The lemon trees came out looking more like telephone poles.,1
184, envies Martin because he is very successful., is very successful.,1
185,Since it was raining I carried the newspaper in my backpack to keep it dry.,I carried the newspaper in my backpack to keep the newspaper dry.,1
186,'s parents came home and found her having sex with her boyfriend Paul. They were furious about it., and Paul were furious about it.,0
187,I sat there feeling rather like a chappie I'd once read about in a book who murdered another cove and hid the body under the dining-room table and then had to be the life and soul of a dinner party with it there all the time.,He had to be the life and soul of a dinner party with the dinner party there all the time.,0
188,In the storm the tree fell down and crashed through the roof of my house. Now I have to get it removed.,Now I have to get The tree removed.,1
189, was supposed to run the dishwasher but he put it off because he wanted to watch TV. But the show turned out to be boring so he changed his mind and turned it off.,He changed his mind and turned the TV off.,1
190,In the middle of the outdoor concert the rain started falling and it continued until 10.,The rain continued until 10.,1
191,It is not easy to space buttonholes exactly the same distance apart and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large and even one thread uncut will leave it too small.,Even one thread uncut will leave one thread too small.,0
192, took French classes from Adam because he was known to speak it fluently., was known to speak it fluently.,1
193, explained his theory to Mark but he couldn't convince him., couldn't convince him.,1
194,Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time we should make more of them.,We should make more of the oatmeal cookies.,1
195,The sack of potatoes had been placed below the bag of flour so it had to be moved first.,The bag of flour had to be moved first.,1
196,As  carried Tommy up the long winding steps his legs dangled.,'s legs dangled.,1
197,'s biography of the Spartan general  conveys a vivid sense of the difficulties he faced in his research.,'s biography of the Spartan general  conveys a vivid sense of the difficulties Goodman faced in his research.,1
198, became absorbed in Blaze the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid so he took upon himself the feeding and care of the animal., took upon himself the feeding and care of the animal.,0
199,'s uncle can still beat him at tennis even though he is 30 years older.,'s uncle is 30 years older.,1
200, was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button so she put the album on a chair without even opening it.,Mama had to hunt for a button.,0
201,I poured water from the bottle into the cup until it was full.,The cup was full.,1
202,During a game of tag  chased Luke because he was "it"., was "it".,1
203, gave Joan candy because she was hungry.,Joan was hungry.,1
204,Mr.  visited 's luxurious New York apartment thinking that it belonged to his son . The result was that Mr.  has decided to cancel 's allowance on the ground that he no longer requires his financial support., no longer requires his financial support.,1
205,When  dropped his ice cream  giggled so father gave him a sympathetic look.,Father gave  a sympathetic look.,1
206, was doing research in the library when he heard a man humming and whistling. He was very annoyed.,The man was very annoyed.,0
207,It is not easy to space buttonholes exactly the same distance apart and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large and even one thread uncut will leave it too small.,Even one thread uncut will leave the slip too small.,0
208, knows all about Ann's personal problems because she is nosy., is nosy.,0
209,It is not easy to space buttonholes exactly the same distance apart and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large and even one thread uncut will leave it too small.,Even one thread uncut will leave the scissors too small.,0
210,The sun was covered by a thick cloud all morning but luckily by the time the picnic started it was out.,The cloud was out.,0
211,The journalists interviewed the stars of the new movie. They were very cooperative so the interview lasted for a long time.,The stars were very cooperative so the interview lasted for a long time.,1
212,The city councilmen refused the demonstrators a permit because they feared violence.,The city councilmen feared violence.,1
213, gave birth to a daughter last month. She is a very charming woman.,'s daughter is a very charming woman.,0
214, was greatly influenced by Arnold though he lived two centuries later., lived two centuries later.,1
215,This book introduced  to ; it was a fine selection of his writing.,It was a fine selection of 's writing.,0
216,The father carried the sleeping boy in his bassinet.,The father carried the sleeping boy in the father's bassinet.,0
217, took the rear seat while Bill claimed the front because his "Dibs!" was quicker., took the rear seat while  claimed the front because 's "Dibs!" was quicker.,0
218, envies Martin although he is very successful., is very successful.,0
219,Of one thing  was sure. Harry knew much less than he did., knew much less than  did.,0
220,Since  was dependent on Uncle Vernon he couldn't very well marry without his approval,Uncle  couldn't very well marry without his approval,0
221, visited Cooper's grave in 1765. At that date he had been dead for five years., had been dead for five years.,0
222, told  many lies about himself which  included in his book. He should have been more skeptical., should have been more skeptical.,0
223,My meeting started at 4:00 and I needed to catch the train at 4:30 so there wasn't much time. Luckily it was delayed so it worked out.,The meeting was delayed so it worked out.,0
224,The foxes are getting in at night and attacking the chickens. They have gotten very nervous.,The foxes have gotten very nervous.,0
225,I put the butterfly wing on the table and it broke.,The butterfly wing broke.,1
226, and Alice had very warm down coats but they were not prepared for the cold in Alaska., and Alice were not prepared for the cold in Alaska.,1
227, gave Ralph a lift to school so he wouldn't have to walk., wouldn't have to walk.,0
228,I put the cake away in the refrigerator. It has a lot of leftovers in it.,The refrigerator has a lot of leftovers in it.,1
229, explained his theory to Mark but he couldn't convince him., couldn't convince him.,0
230,I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the water bottle would be handy.,1
231,The fish ate the worm. It was tasty.,The worm was tasty.,1
232,As  in the crop duster passed over Susan she could see the landing strip., could see the landing strip.,1
233,As  in the crop duster passed over Susan she could see the landing strip.,Susan could see the landing strip.,0
234, is holding captive a scientist Dr.  who has invented a device that turns animals invisible;  plans to use it on Geoffrey and send him to steal nuclear material from an army vault., plans to use it on  and send  to steal nuclear material from an army vault.,1
235, ceded the presidency to  because he was more popular., was more popular.,1
236, who had not told the government official that he was less than 21 when he filed for a homestead claim did not consider that he had done anything dishonest. Still anyone who knew that he was 19 years old could take his claim away from him.,The government official was less than 21 when he filed for a homestead claim.,0
237, came over and sat down beside Alice. Gently she stroked her hair and let the child weep., stroked her hair and let the child weep.,0
238, looked for her friend  in the crowd. Since she always has good luck  spotted her quickly.,Since  always has good luck Alice spotted her quickly.,0
239,I sat there feeling rather like a chappie I'd once read about in a book who murdered another cove and hid the body under the dining-room table and then had to be the life and soul of a dinner party with it there all the time.,He had to be the life and soul of a dinner party with the body there all the time.,1
240,The cat was lying by the mouse hole waiting for the mouse but it was too impatient.,The mouse was too impatient.,0
241,Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time we should make more of them.,We should make more of the chocolate chip cookies.,0
242, signaled the barman and gestured toward his bathroom key., signaled the barman and gestured toward 's bathroom key.,0
243, was close to Mr. Singer's heels. He heard him calling for the captain promising him in the jargon everyone talked that night that not one thing should be damaged on the ship except only the ammunition but the captain and all his crew had best stay in the cabin until the work was over.,He heard Mr.  calling for the captain.,1
244,I couldn't put the pot on the shelf because it was too tall.,The shelf was too tall.,0
245, was jogging through the park when he saw a man juggling watermelons. He was very impressive.,The juggler was very impressive.,1
246,The lawyer asked the witness a question but he was reluctant to answer it.,The witness was reluctant to answer it.,1
247, knew that Ann's son had been in a car accident because she told her about it., told her about it.,0
248,Since  was dependent on Uncle Vernon he couldn't very well marry without his approval, couldn't very well marry without his approval,1
249,When the sponsors of the bill got to the town hall they were surprised to find that the room was full of opponents. They were very much in the majority.,The opponents were very much in the majority.,1
250, cried because Toby wouldn't share his toy., cried because  wouldn't share 's toy.,1
251,At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid.,The judges were so stupid.,1
252,The large ball crashed right through the table because it was made of steel.,The table was made of steel.,0
253, worked hard to harvest his beans so he and his family would have enough to eat that winter His friend  let him stack them in his barn where they would dry. Later he and  would shell them and cook them for their Sunday dinners.,His friend  let him stack the beans in his barn where they would dry.,1
254, knocked on Susan's door but there was no answer. She was out., was out.,0
255, knocked on the door and Susan answered it. She invited her to come in., invited her to come in.,0
256,The table won't fit through the doorway because it is too wide.,The doorway is too wide.,0
257,A number of times  had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries and those occasions stood out as red-letter days for him.,Those occasions stood out as red-letter days for father.,0
258,If the con artist has succeeded in fooling  he would have lost a lot of money., would have lost a lot of money.,1
259, a timid teen-ager lives with his widowed mother in a Brooklyn housing project. 's father a gang leader was shot to death; his father's disciple  takes  under his wing and quickly molds him into a drug runner.,His father's disciple  takes  under his wing and quickly molds 's father into a drug runner.,0
260, felt crushed when his longtime rival Bill revealed that he was the winner of the competition., was the winner of the competition.,0
261, covered his eyes with his hands because the wind was blowing sand around. He lowered them when the wind stopped.,He lowered his hands when the wind stopped.,1
262,The Wainwrights treated Mr.  like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.,Folks said he died just to be ride of the folks' everlasting nagging.,0
263,The father carried the sleeping boy in his arms.,The father carried the sleeping boy in the boy's arms.,0
264,There is a gap in the wall. You can see the garden through it.,You can see the garden through the wall.,0
265,Archaeologists have concluded that humans lived in Laputa 20000 years ago. They hunted for deer on the river banks.,Archaeologists hunted for deer on the river banks.,0
266, knew that Ann's son had been in a car accident so she told her about it., told her about it.,1
267,Then Dad figured out how much the man owed the store; to that he added the man's board-bill at the cook-shanty. He subtracted that amount from the man's wages and made out his check,The man subtracted that amount from the man's wages.,0
268,The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.,The teller was immediately taken to the hospital.,1
269, ceded the presidency to  because he was less popular., was less popular.,1
270, hired Bill to take care of him., hired  to take care of .,0
271, passed the gameboy to John because his turn was next.,'s turn was next.,1
272, paid the detective after he delivered the final report on the case., delivered the final report on the case.,0
273, is the only man alive who still remembers my father as an infant. When  first saw my father he was twelve months old.,When  first saw my father My father was twelve months old.,1
274, asked Robert for a favor but he was refused., was refused.,1
275, spoke to Donna breaking her silence., spoke to  breaking 's silence.,1
276, was playing cards with  and was way ahead. If  hadn't had a sudden run of good luck he would have lost., would have lost.,0
277, had to stop Bill from toying with the injured bird. He is very cruel., is very cruel.,0
278, asked Mary what time the library closes but she had forgotten.,Mary had forgotten.,1
279,The sculpture rolled off the shelf because it wasn't anchored.,The sculpture wasn't anchored.,1
280, believed that Rebecca suspected that she had stolen the watch., believed that  suspected that  had stolen the watch.,1
281, tried to call George on the phone but he wasn't successful., wasn't successful.,0
282, tucked her daughter Anne into bed so that she could work., tucked her daughter  into bed so that  could work.,1
283, asked Robert for a favor but he refused., refused.,1
284,I couldn't find a spoon so I tried using a pen to stir my coffee. But that turned out to be a bad idea because it got full of coffee.,The coffee got full of coffee.,0
285,The path to the lake was blocked so we couldn't use it.,We couldn't use the path.,1
286,Stretching her back the woman smiled at the girl.,Stretching the girl's back the woman smiled at the girl.,0
287,Archaeologists have concluded that humans lived in Laputa 20000 years ago. They hunted for evidence on the river banks.,Archaeologists hunted for evidence on the river banks.,1
